('SI--LAC2B20', 'SI20LCA8M10'):135
('SI--LAC2B20', 'SI20MKG8-26'):90
('SI--LAC2B20', 'SI20MAG8-10'):72
('SI--LAC2B20', 'SI20QCB8-10'):159
('SI--LAC2B20', 'SI20MKA9-40'):64
('SI--LAC2B20', 'SI--BFT8-26'):83
('SI--3331-33', 'SI20LCA8M10'):378
('SI--3331-33', 'SI20MKG8-26'):356
('SI--3331-33', 'SI20QCB8-10'):402
('SI--3331-33', 'SI20MKA9-40'):344
('SI--3331-33', 'SI--BFT8-26'):384
('SI20USC2-12', 'SI20LCA8M10'):250
('SI20USC2-12', 'SI20MKG8-26'):454
('SI20USC2-12', 'SI20MAG8-10'):464
('SI20USC2-12', 'SI20QCB8-10'):337
('SI20USC2-12', 'SI20MKA9-40'):242
('SI20USC2-12', 'SI--BFT8-26'):261
('SI--H--2-10', 'SI20SGJ8-20'):95
('SI--H--2-10', 'SI20---9-75'):230
('SI--H--2-10', 'SI20MKA7-89'):33
('SI--H--2-10', 'SI20SGY8A25'):108
('SI--H--2-10', 'SI20MA-6-16'):46
('SI--H--2-10', 'SI20PAR8-06'):85
('SI--H--2-10', 'SI20UBA5B-50'):108
('SI--3331-61', 'SI20PAR8-06'):240
('SI--3331-61', 'SI20BFT8-78'):240
('SI20---3B07', 'SI20PAR8-06'):511
('SI20---3B07', 'SI20LCL8B10'):355
('SI20---3B07', 'SI20LBB8J11'):307
('SI20---3B07', 'SI20CFE8-13'):287
('SI--LD-2-86', 'SI20PAR8-06'):627
('SI--LD-2-86', 'SI20LCL8B10'):471
('SI--LD-2-86', 'SI20LBB8J11'):423
('SI--LD-2-86', 'SI20CFE8-13'):403
('SI-----1-03', 'SI20PAR8-06'):157
('SI-----1-03', 'SI20LCL8B10'):373
('SI-----1-03', 'SI20LBB8J11'):325
('SI-----1-03', 'SI20CFE8-13'):243
('SI----P3A92', 'SI20PAR8-06'):508
('SI----P3A92', 'SI20LCL8B10'):352
('SI----P3A92', 'SI20LBB8J11'):304
('SI----P3A92', 'SI20CFE8-13'):284
('SI-----1-04', 'SI20ACA8-27'):429
('SI-----1-03', 'SI20BBA7-54'):241
('SI-----1-03', 'SI20UBA5-93'):187
('SI-----1-03', 'SI20BBA7-56'):217
('SI--LCA2B85', 'SI20SGM8-31'):205
('SI--LCA2B85', 'SI20BBA8-47'):525
('SI--LCA2B85', 'SI20B--8-50'):107
('SI--5552-85', 'SI20MKF8-11'):184
('SI--5552-85', 'SI--2226-58'):207
('SI-P221-3651', 'SI20MKF8-11'):283
('SI-P221-3651', 'SI--2226-58'):306
('SP--SGJ2-03', 'SI20MKF8-11'):538
('SP--SGJ2-03', 'SI--2226-58'):561
('SI20---2M10', 'SI20BBA7-58'):450
('SI--3331-32', 'SI20MAW8-10'):531
('SI--3331-32', 'SI--BRU8-22'):474
('SI--3331-32', 'SI20--P8-14'):558
('SI--3331-32', 'SI--BZP2-50'):346
('SI--3331-32', 'SI20E--7-35'):258
('SI--HA-2-83', 'SI20E--7-30'):267
('SI--EK-2-90', 'SI20E--7-30'):229
('SI--LCA2B86', 'SI20E--7-30'):229
('SI--G--2-20', 'SI20E--7-30'):382
('SI--SMM2-87', 'SI20E--7-30'):217
('SI--5552-60', 'SI20E--7-30'):230
('SI--LCB2B86', 'SI20E--7-30'):229
('SI--HA-2-97', 'SI20LD8B110'):423
('SI--HA-2-97', 'SI20SGJ8-20'):470
('SI20---2M10', 'SI20HAD8G10'):180
('SI20---2M10', 'SI20UEN5D45'):355
('SI--LDK2B85', 'SI20MBP8-10'):489
('SP--MB-2A55', 'SI20MBP8-10'):477
('SI--HA-2-79', 'SI20MBP8-10'):490
('SP--B--2-61', 'SI20MBP8-10'):489
('SP--MB-2-86', 'SI20MBP8-10'):504
('SI--SA-2-27', 'SI20MBP8-10'):637
('SI-----1-04', 'SI20MAJ8-10'):408
('SI-----1-04', 'SI20HSK-8B28'):805
('SI-----1-04', 'SI20MKA8-10'):470
('SI-----1-04', 'SI20MKQ8-25'):335
('SI-----1-04', 'SI20QU-8-10'):401
('SI--M--2D00', 'SI20E--7-25'):188
('SI--3332-76', 'SI20E--7-25'):330
('SI--MA-2-10', 'SI20E--7-25'):640
('SI--LDK2B61', 'SI20E--7-25'):636
('SP20MBL2-05', 'SI20E--7-25'):460
('SI---1P2A528', 'SI20MBP8-10'):383
('SI---1P2A528', 'SI20EK-8H13'):383
('SI---1P2A528', 'SI-----1-09'):508
('SI---1P2A528', 'SI20CYQ8-10'):383
('SI20---3B10', 'SI20MBP8-10'):219
('SI20---3B10', 'SI20EK-8H13'):219
('SI20---3B10', 'SI-----1-09'):344
('SI20---3B10', 'SI20CYQ8-10'):219
('SP20MBL2-10', 'SI20MBP8-10'):358
('SP20MBL2-10', 'SI20EK-8H13'):358
('SP20MBL2-10', 'SI-----1-09'):483
('SP20MBL2-10', 'SI20CYQ8-10'):358
('SI-----2M40', 'SI20MBP8-10'):457
('SI-----2M40', 'SI20EK-8H13'):457
('SI-----2M40', 'SI-----1-09'):582
('SI-----2M40', 'SI20CYQ8-10'):457
('SI-----2M16', 'SI20MBP8-10'):392
('SI-----2M16', 'SI20EK-8H13'):392
('SI-----2M16', 'SI-----1-09'):517
('SI-----2M16', 'SI20CYQ8-10'):392
('SI20UMC5B10', 'SI20MBV8-10'):314
('SI20---2M61', 'SI20MBV8-10'):578
('SI20---2M10', 'SI20MBV8-10'):75
('SI--HA-2A86', 'SI20MBV8-10'):178
('SI--PGB2C85', 'SI20BFA8-10'):114
('SI--PGB2C85', 'SI20CPC8-10'):302
('SP--MPB2-05', 'SI20BFA8-10'):290
('SP--MPB2-05', 'SI20CPC8-10'):290
('SI--B--2-14', 'SI-PM-45'):312
('SI--B--2-14', 'SI--2226-58'):389
('SI--B--2-14', 'SI-PM-55'):351
('SI--B--2-14', 'SI20MAD8-26'):299
('SI--2222-30', 'SI20BBA8-40'):394
('SI--UBA2G85', 'SI20BBA8-40'):394
('SI--PAC2B85', 'SI20MA-6-16'):407
('SI--PAC2B85', 'SI20BFT8-78'):310
('SI--C--2C50', 'SI20MA-6-16'):504
('SI--C--2C50', 'SI20BFT8-78'):407
('SI--PAC2B87', 'SI20MA-6-16'):419
('SI--PAC2B87', 'SI20BFT8-78'):322
('SI--HA-2-84', 'SI20MA-6-16'):430
('SI--HA-2-84', 'SI20BFT8-78'):333
('SI20CJF2-82', 'SI20MA-6-16'):504
('SI20CJF2-82', 'SI20BFT8-78'):407
